day;time;aircraft; type;flight number;runway;gate;arrival or departure
09;07:45;Private Jet;BKK;THY701;07R;144;departure
09;08:15;Airliner;CDG;QTR196;07L;54;arrival
09;08:30;Airliner;ORD;SIA360;07L;51;departure
09;08:45;Private Jet;ORD;AFR516;25L;105;arrival
09;09:00;Cargo;JFK;CPA169;07L;230;departure
09;09:15;Regional Jet;DXB;QTR325;25L;94;arrival
09;09:30;Regional Jet;ATL;KLM439;25L;222;departure
09;09:45;Cargo;IST;SIA372;25L;85;arrival
09;10:00;Airliner;SIN;DLH146;25R;263;departure
09;10:15;Private Jet;JFK;CPA301;07L;359;arrival
09;10:45;Airliner;CDG;UAE470;25R;231;departure
09;11:15;Regional Jet;MAD;CPA789;07L;17;arrival
09;11:30;Private Jet;FRA;UAE781;07R;139;departure
09;11:45;Private Jet;CDG;SIA736;25L;201;arrival
09;12:00;Cargo;JFK;IBE348;25R;81;departure
09;12:15;Private Jet;JFK;QTR848;25R;217;arrival
09;12:30;Military;LHR;IBE710;07R;218;departure
09;12:45;Airliner;AMS;QTR632;25L;49;arrival
09;13:00;Airliner;HKG;UAE508;07L;63;departure
09;14:00;Regional Jet;MAD;CPA494;07R;102;arrival
09;14:15;Military;HKG;AAL454;07L;172;departure
09;14:30;Airliner;FRA;BAW162;07R;40;arrival
09;14:45;Cargo;AMS;SIA453;25L;94;departure
09;15:00;Regional Jet;SIN;SIA581;25L;58;arrival
09;15:15;Airliner;DOH;CPA357;07R;181;departure
09;15:45;Regional Jet;MAD;IBE558;25R;264;arrival
09;16:30;Private Jet;DXB;CPA407;07R;328;departure
09;16:45;Military;DXB;UAE448;07R;25;arrival
09;17:15;Regional Jet;CDG;CPA881;25R;321;departure
09;17:30;Airliner;LHR;UAE374;25R;291;arrival
09;17:45;Cargo;SIN;KLM694;25L;141;departure
09;18:15;Regional Jet;AMS;UAE519;25R;151;arrival
09;18:30;Cargo;AMS;KLM694;07R;303;departure
09;18:45;Private Jet;DXB;SIA928;07L;26;arrival
09;19:00;Cargo;AMS;CPA410;07L;16;departure
09;19:15;Private Jet;DXB;CPA453;25L;198;arrival
09;19:30;Military;BKK;QTR184;25L;316;departure
09;19:45;Regional Jet;ORD;DLH200;07L;1;arrival
09;20:00;Military;LAX;IBE847;07L;54;departure
09;20:30;Regional Jet;HKG;AFR759;07R;15;arrival
09;20:45;Airliner;HKG;DLH910;25L;314;departure
09;21:00;Airliner;IST;SIA731;25R;142;arrival
09;21:30;Military;LAX;AFR561;25R;213;departure
09;21:45;Regional Jet;LHR;QTR368;25R;58;arrival
09;22:00;Private Jet;HKG;THY998;25R;354;departure
09;22:15;Military;JFK;SIA355;07L;88;arrival
09;22:30;Military;JFK;AFR370;25R;285;departure
09;22:45;Airliner;JFK;AAL603;07R;253;arrival
09;23:00;Military;BKK;UAE708;07R;252;departure
09;23:15;Regional Jet;ORD;CPA220;25R;356;arrival
09;23:45;Regional Jet;FRA;AFR795;25R;264;departure
10;04:00;Military;LAX;IBE824;25R;293;arrival
10;04:15;Cargo;LAX;QTR642;25L;308;departure
10;04:30;Military;AMS;CPA665;25L;249;arrival
10;05:00;Private Jet;SIN;BAW547;25L;281;departure
10;05:15;Private Jet;SIN;AAL881;07R;60;arrival
10;05:30;Military;AMS;IBE312;25R;194;departure
10;05:45;Military;DOH;AFR373;25L;211;arrival
10;06:15;Military;LAX;AAL552;07R;235;departure
10;06:30;Regional Jet;LAX;CPA917;07L;11;arrival
10;06:45;Military;HKG;DLH113;25L;36;departure
10;07:00;Military;IST;KLM649;25L;50;arrival
10;07:30;Military;HKG;AAL800;25R;214;departure
10;07:45;Private Jet;JFK;SIA537;07R;142;arrival
10;08:00;Cargo;ATL;AFR447;07R;115;departure
10;08:15;Cargo;DOH;CPA963;25L;101;arrival
10;08:30;Private Jet;FRA;KLM326;07R;96;departure
10;08:45;Regional Jet;MAD;THY918;07L;78;arrival
10;09:00;Airliner;BKK;IBE636;25L;294;departure
10;09:15;Airliner;BKK;THY659;25L;144;arrival
10;09:30;Regional Jet;DXB;BAW328;07R;113;departure
10;09:45;Regional Jet;SIN;UAE449;25L;71;arrival
10;10:00;Private Jet;ORD;AAL257;25L;96;departure
10;10:15;Airliner;MAD;IBE535;25R;21;arrival
10;11:15;Private Jet;AMS;BAW578;25R;169;departure
10;11:30;Cargo;LAX;AAL902;07L;318;arrival
10;12:15;Regional Jet;BKK;CPA410;25R;332;departure
10;12:30;Regional Jet;JFK;THY806;25R;345;arrival
10;12:45;Regional Jet;JFK;QTR164;07L;48;departure
10;13:00;Private Jet;IST;AAL102;07L;129;arrival
10;13:15;Airliner;BKK;SIA476;25R;306;departure
10;13:30;Airliner;LAX;IBE608;25L;68;arrival
10;13:45;Cargo;IST;KLM517;07R;75;departure
10;14:00;Regional Jet;IST;AAL679;25L;74;arrival
10;14:15;Private Jet;BKK;AAL148;07L;266;departure
10;14:30;Cargo;AMS;AAL581;25R;186;arrival
10;14:45;Regional Jet;LAX;BAW184;25L;142;departure
10;15:15;Regional Jet;HKG;IBE876;25R;119;arrival
10;15:30;Military;SIN;THY735;25R;275;departure
10;16:30;Airliner;HKG;BAW384;07L;23;arrival
10;17:30;Private Jet;IST;BAW405;25R;280;departure
10;17:45;Cargo;JFK;THY318;25R;251;arrival
10;18:30;Military;JFK;BAW852;25R;176;departure
10;18:45;Military;DOH;AAL714;07R;6;arrival
10;19:00;Cargo;IST;DLH745;07L;2;departure
10;19:15;Airliner;ATL;UAE513;07L;323;arrival
10;19:30;Military;DOH;DLH578;25R;104;departure
10;19:45;Military;ORD;BAW922;25R;3;arrival
10;20:00;Private Jet;FRA;KLM754;07L;12;departure
10;20:15;Cargo;LAX;AFR568;25L;306;arrival
10;20:30;Private Jet;BKK;SIA407;25L;286;departure
10;20:45;Cargo;ORD;UAE187;07L;312;arrival
10;21:00;Airliner;DXB;THY117;07L;304;departure
10;21:15;Private Jet;DXB;SIA615;07R;142;arrival
10;21:30;Regional Jet;DOH;KLM453;25L;237;departure
10;21:45;Cargo;SIN;UAE709;25L;135;arrival
10;22:15;Private Jet;FRA;THY365;07L;305;departure
10;22:30;Private Jet;LHR;BAW490;25L;107;arrival
10;23:15;Regional Jet;HKG;BAW487;07R;164;departure
10;23:30;Regional Jet;LHR;THY600;25L;122;arrival
10;23:45;Cargo;DOH;IBE950;07L;153;departure
11;04:00;Military;CDG;SIA604;07R;73;arrival
11;04:15;Regional Jet;BKK;SIA212;25R;290;departure
11;04:30;Regional Jet;ORD;KLM665;07R;329;arrival
11;04:45;Airliner;MAD;KLM507;25R;147;departure
11;05:00;Military;ATL;THY621;07L;356;arrival
11;06:15;Military;SIN;AAL645;07R;31;departure
11;06:45;Military;FRA;AFR902;07L;38;arrival
11;07:00;Private Jet;LHR;AFR992;07L;162;departure
11;07:45;Regional Jet;BKK;IBE563;07R;272;arrival
11;08:00;Airliner;HKG;AAL951;25L;243;departure
11;08:15;Cargo;BKK;THY888;25L;198;arrival
11;08:30;Airliner;HKG;BAW590;07L;306;departure
11;08:45;Military;IST;QTR715;07R;23;arrival
11;09:00;Cargo;HKG;AAL767;07R;25;departure
11;09:15;Cargo;DOH;QTR661;25R;165;arrival
11;09:30;Cargo;IST;IBE188;25R;112;departure
11;10:30;Cargo;AMS;CPA552;07R;193;arrival
11;10:45;Airliner;JFK;QTR520;07R;275;departure
11;11:00;Cargo;DOH;QTR956;07R;350;arrival
11;11:30;Regional Jet;JFK;UAE396;25L;232;departure
11;12:00;Military;FRA;AAL579;07R;16;arrival
11;12:30;Private Jet;SIN;IBE151;25L;32;departure
11;12:45;Airliner;AMS;BAW586;07R;32;arrival
11;13:00;Military;CDG;THY356;07R;290;departure
11;13:15;Military;IST;QTR712;25L;181;arrival
11;13:30;Regional Jet;DOH;CPA837;25L;194;departure
11;13:45;Military;DXB;CPA918;25L;303;arrival
11;14:00;Private Jet;DOH;DLH498;25L;46;departure
11;14:30;Private Jet;AMS;BAW566;07L;285;arrival
11;14:45;Private Jet;HKG;AAL298;25L;42;departure
11;15:00;Private Jet;MAD;BAW587;07R;111;arrival
11;15:15;Military;MAD;AFR969;07L;302;departure
11;15:30;Airliner;DXB;CPA615;25R;289;arrival
11;15:45;Regional Jet;HKG;BAW457;25L;189;departure
11;16:00;Cargo;DXB;AAL868;07L;186;arrival
11;16:30;Cargo;FRA;AAL731;25L;291;departure
11;16:45;Regional Jet;HKG;CPA175;25R;193;arrival
11;17:15;Airliner;MAD;KLM995;07R;88;departure
11;17:30;Airliner;DOH;THY798;07L;232;arrival
11;17:45;Regional Jet;FRA;IBE625;25L;85;departure
11;18:00;Private Jet;FRA;IBE579;07L;139;arrival
11;18:15;Regional Jet;IST;SIA791;07L;329;departure
11;18:30;Regional Jet;AMS;THY380;25L;290;arrival
11;18:45;Airliner;CDG;DLH112;07L;355;departure
11;19:00;Military;JFK;IBE807;07R;195;arrival
11;19:30;Cargo;LAX;THY488;07R;291;departure
11;19:45;Regional Jet;SIN;AFR174;25L;231;arrival
11;20:00;Regional Jet;ORD;IBE994;25L;175;departure
11;20:15;Cargo;FRA;BAW371;07L;61;arrival
11;20:30;Cargo;ATL;BAW597;25R;243;departure
11;20:45;Military;LAX;AAL423;07R;194;arrival
11;21:00;Military;ORD;UAE383;07R;246;departure
11;21:15;Airliner;DXB;IBE347;25L;141;arrival
11;21:30;Airliner;ORD;QTR542;25L;266;departure
11;21:45;Regional Jet;ORD;SIA657;25L;283;arrival
11;22:15;Private Jet;AMS;CPA968;25R;46;departure
11;22:30;Cargo;AMS;CPA123;07R;106;arrival
11;22:45;Regional Jet;DOH;IBE516;25R;6;departure
11;23:00;Regional Jet;CDG;SIA299;25R;176;arrival
11;23:30;Cargo;CDG;THY982;25R;270;departure
12;04:00;Private Jet;CDG;QTR244;07L;190;arrival
12;04:30;Military;BKK;KLM381;25R;315;departure
12;04:45;Airliner;ORD;QTR669;07R;314;arrival
12;05:15;Cargo;SIN;IBE839;07L;135;departure
12;06:15;Regional Jet;ORD;THY882;07R;15;arrival
12;06:30;Regional Jet;ORD;CPA778;07L;194;departure
12;07:15;Airliner;SIN;DLH702;07L;339;arrival
12;07:30;Cargo;ORD;KLM198;25R;147;departure
12;07:45;Private Jet;MAD;AFR495;07R;25;arrival
12;08:15;Regional Jet;ORD;UAE236;07L;81;departure
12;08:30;Private Jet;JFK;AFR208;07R;211;arrival
12;08:45;Cargo;AMS;UAE134;25R;59;departure
12;09:00;Private Jet;LHR;BAW335;07L;153;arrival
12;09:45;Airliner;CDG;AFR365;07R;42;departure
12;10:00;Regional Jet;BKK;BAW507;25L;86;arrival
12;10:30;Cargo;DOH;CPA535;07L;166;departure
12;10:45;Regional Jet;LHR;AFR345;07R;52;arrival
12;11:30;Cargo;ATL;SIA396;25R;319;departure
12;11:45;Cargo;LHR;SIA795;25R;194;arrival
12;12:15;Private Jet;HKG;AFR520;25L;295;departure
12;12:30;Airliner;MAD;CPA609;25R;70;arrival
12;12:45;Cargo;DXB;QTR680;07R;31;departure
12;13:00;Private Jet;DOH;KLM516;25R;131;arrival
12;13:15;Private Jet;ATL;AFR814;07L;297;departure
12;13:30;Military;HKG;IBE822;25R;69;arrival
12;13:45;Cargo;LAX;AFR286;07L;261;departure
12;14:00;Military;SIN;BAW661;25R;59;arrival
12;14:15;Regional Jet;AMS;IBE700;25R;321;departure
12;14:30;Airliner;AMS;AAL620;25R;265;arrival
12;14:45;Military;LAX;IBE558;25L;268;departure
12;15:00;Cargo;DXB;BAW400;07L;182;arrival
12;15:30;Regional Jet;HKG;CPA845;25R;162;departure
12;15:45;Airliner;LHR;SIA292;25R;322;arrival
12;16:00;Cargo;FRA;UAE247;25R;176;departure
12;16:15;Cargo;DXB;THY166;25R;133;arrival
12;16:30;Private Jet;BKK;THY808;25L;6;departure
12;17:00;Cargo;LAX;QTR726;07R;157;arrival
12;17:15;Regional Jet;AMS;DLH239;07R;306;departure
12;17:30;Private Jet;MAD;BAW872;25L;124;arrival
12;18:00;Cargo;FRA;BAW814;25R;332;departure
12;18:15;Regional Jet;LAX;QTR176;07R;118;arrival
12;18:30;Airliner;DOH;BAW742;25L;316;departure
12;18:45;Regional Jet;FRA;AAL204;07L;272;arrival
12;19:00;Regional Jet;MAD;IBE373;25L;146;departure
12;19:15;Cargo;JFK;UAE150;07R;180;arrival
12;19:30;Military;CDG;UAE573;25L;143;departure
12;19:45;Cargo;DXB;KLM947;25R;339;arrival
12;20:00;Airliner;ATL;AAL691;07R;346;departure
12;20:15;Private Jet;DXB;AFR469;25R;244;arrival
12;21:00;Private Jet;CDG;AAL837;25R;357;departure
12;21:15;Military;HKG;BAW261;07R;197;arrival
12;21:30;Private Jet;SIN;IBE547;25L;172;departure
12;21:45;Cargo;SIN;AFR904;25L;195;arrival
12;22:00;Regional Jet;DXB;DLH923;07L;205;departure
12;22:15;Military;HKG;THY732;07R;250;arrival
12;22:30;Airliner;SIN;THY622;25R;7;departure
12;23:00;Cargo;DOH;AAL702;25R;260;arrival
12;23:15;Cargo;DOH;KLM665;25R;62;departure
12;23:30;Regional Jet;ORD;UAE423;07R;309;arrival
12;23:45;Airliner;AMS;CPA690;25L;87;departure
13;04:15;Military;MAD;QTR365;07L;108;arrival
13;04:30;Military;JFK;UAE226;25L;263;departure
13;05:00;Military;LHR;UAE825;25L;78;arrival
13;05:30;Private Jet;LHR;BAW767;25L;236;departure
13;05:45;Airliner;HKG;AAL498;07R;86;arrival
13;06:00;Regional Jet;DXB;AAL177;25R;114;departure
13;06:15;Military;CDG;SIA898;25L;173;arrival
13;06:30;Airliner;JFK;KLM418;07R;132;departure
13;06:45;Regional Jet;MAD;CPA288;25R;333;arrival
13;07:00;Regional Jet;LAX;KLM263;25R;155;departure
13;07:15;Private Jet;DOH;QTR873;25R;289;arrival
13;07:30;Cargo;AMS;BAW382;07R;81;departure
13;07:45;Private Jet;ATL;AAL303;07L;312;arrival
13;08:00;Regional Jet;IST;IBE661;25R;24;departure
13;09:00;Airliner;CDG;SIA203;25L;156;arrival
13;09:30;Private Jet;ATL;KLM570;25R;205;departure
13;09:45;Regional Jet;DOH;AAL976;07L;257;arrival
13;10:00;Airliner;JFK;AAL258;25L;294;departure
13;10:15;Military;SIN;KLM648;25L;334;arrival
13;10:45;Military;CDG;CPA650;25L;359;departure
13;11:00;Cargo;FRA;BAW234;07R;206;arrival
13;11:30;Private Jet;CDG;CPA530;25R;146;departure
13;11:45;Regional Jet;LAX;IBE117;25L;40;arrival
13;12:00;Airliner;ATL;IBE670;07L;192;departure
13;12:15;Airliner;AMS;DLH410;25L;58;arrival
13;12:45;Airliner;LAX;SIA652;25R;269;departure
13;13:15;Private Jet;LHR;AAL890;25R;205;arrival
13;13:30;Military;FRA;KLM121;07L;284;departure
13;13:45;Airliner;CDG;BAW157;07R;149;arrival
13;14:00;Airliner;ATL;QTR159;07R;81;departure
13;15:00;Cargo;BKK;SIA604;07L;18;arrival
13;15:15;Cargo;ATL;THY223;25R;293;departure
13;15:45;Airliner;IST;DLH528;25L;293;arrival
13;16:00;Regional Jet;MAD;CPA228;07L;260;departure
13;16:15;Private Jet;BKK;AAL330;07R;76;arrival
13;16:30;Regional Jet;IST;IBE140;25L;167;departure
13;16:45;Regional Jet;LAX;IBE837;07R;340;arrival
13;17:00;Regional Jet;FRA;KLM954;25R;333;departure
13;17:15;Airliner;HKG;AAL715;07R;268;arrival
13;17:45;Military;FRA;IBE621;07L;251;departure
13;18:00;Regional Jet;DOH;AAL781;07L;198;arrival
13;18:15;Cargo;DOH;KLM164;25L;310;departure
13;18:30;Cargo;ORD;IBE834;25R;136;arrival
13;18:45;Private Jet;FRA;THY957;07R;91;departure
13;19:00;Military;HKG;AAL707;07R;189;arrival
13;19:30;Military;FRA;QTR154;07L;85;departure
13;19:45;Airliner;CDG;AAL198;07L;322;arrival
13;20:00;Airliner;MAD;BAW449;25L;141;departure
13;20:30;Private Jet;MAD;KLM424;07R;333;arrival
13;20:45;Cargo;FRA;THY336;25R;16;departure
13;21:00;Airliner;HKG;IBE208;07R;180;arrival
13;21:15;Regional Jet;ATL;AFR129;07R;152;departure
13;21:30;Airliner;SIN;UAE211;07R;68;arrival
13;21:45;Airliner;AMS;KLM303;07R;129;departure
13;22:00;Regional Jet;FRA;UAE978;25L;236;arrival
13;22:15;Cargo;DOH;AAL564;07R;155;departure
13;22:45;Military;IST;AFR637;07L;101;arrival
13;23:00;Regional Jet;FRA;AFR666;25L;175;departure
13;23:15;Military;AMS;AFR407;25R;132;arrival
13;23:30;Private Jet;CDG;CPA215;25L;102;departure
14;04:00;Military;BKK;IBE444;25L;253;arrival
14;04:30;Military;DXB;DLH561;07R;128;departure
14;04:45;Regional Jet;MAD;IBE678;07R;223;arrival
14;05:00;Military;JFK;AFR704;25R;84;departure
14;05:15;Private Jet;ORD;AAL996;25L;129;arrival
14;05:30;Private Jet;CDG;AAL958;07L;323;departure
14;05:45;Airliner;AMS;DLH619;07R;356;arrival
14;06:00;Military;LAX;IBE109;07R;115;departure
14;06:15;Private Jet;ATL;AFR856;07L;47;arrival
14;06:30;Regional Jet;SIN;QTR541;07R;98;departure
14;07:00;Military;LHR;KLM171;25L;176;arrival
14;07:15;Regional Jet;BKK;BAW867;07R;349;departure
14;07:30;Military;HKG;DLH650;07L;259;arrival
14;07:45;Military;AMS;AAL773;25R;290;departure
14;08:00;Military;CDG;SIA422;07L;60;arrival
14;08:15;Regional Jet;DXB;UAE613;25L;330;departure
14;08:30;Airliner;JFK;CPA226;07L;128;arrival
14;09:00;Airliner;AMS;AFR292;25L;162;departure
14;09:15;Airliner;IST;CPA227;25L;109;arrival
14;09:30;Private Jet;ORD;DLH119;25L;183;departure
14;10:00;Regional Jet;LHR;QTR188;25R;238;arrival
14;10:30;Private Jet;LAX;QTR244;25L;128;departure
14;10:45;Military;HKG;DLH684;07R;220;arrival
14;11:00;Airliner;AMS;UAE661;25R;313;departure
14;11:15;Private Jet;ATL;IBE771;07L;259;arrival
14;11:30;Regional Jet;FRA;QTR595;07R;94;departure
14;11:45;Regional Jet;CDG;BAW544;25L;69;arrival
14;12:00;Airliner;LHR;BAW242;07R;291;departure
14;12:15;Regional Jet;AMS;THY932;07R;267;arrival
14;13:00;Private Jet;ATL;CPA265;25L;340;departure
14;13:15;Airliner;ORD;AFR445;07R;97;arrival
14;13:30;Regional Jet;DXB;IBE420;25R;177;departure
14;14:00;Private Jet;SIN;SIA363;25R;210;arrival
14;14:15;Airliner;ATL;DLH174;25R;193;departure
14;14:30;Regional Jet;ATL;QTR689;25R;243;arrival
14;14:45;Regional Jet;DOH;DLH575;25L;128;departure
14;15:15;Military;ATL;QTR801;07R;52;arrival
14;16:15;Private Jet;FRA;DLH815;07L;126;departure
14;17:00;Regional Jet;AMS;AFR230;07L;127;arrival
14;17:15;Private Jet;IST;THY840;25L;6;departure
14;17:30;Cargo;BKK;QTR345;07R;285;arrival
14;17:45;Regional Jet;FRA;BAW181;07R;114;departure
14;18:00;Airliner;ATL;THY738;25R;327;arrival
14;18:15;Private Jet;FRA;CPA204;25R;19;departure
14;18:30;Airliner;DOH;AAL810;07R;267;arrival
14;18:45;Airliner;BKK;THY545;25R;282;departure
14;19:00;Cargo;ORD;AFR162;07R;181;arrival
14;19:30;Regional Jet;CDG;DLH252;25L;243;departure
14;19:45;Airliner;LAX;SIA445;25L;161;arrival
14;20:00;Regional Jet;CDG;QTR705;07L;139;departure
14;20:15;Private Jet;AMS;AFR149;07R;161;arrival
14;20:45;Airliner;SIN;UAE355;07L;255;departure
14;21:15;Airliner;ORD;SIA819;25R;129;arrival
14;21:45;Regional Jet;DOH;UAE870;25L;357;departure
14;22:00;Cargo;ORD;QTR216;07L;33;arrival
14;22:15;Regional Jet;HKG;DLH704;07L;245;departure
14;22:45;Regional Jet;ORD;AAL826;25L;306;arrival
14;23:00;Regional Jet;MAD;UAE677;25R;110;departure
14;23:15;Regional Jet;MAD;SIA827;25L;350;arrival
14;23:30;Cargo;SIN;AFR469;07R;123;departure
15;04:00;Cargo;FRA;QTR756;25L;150;arrival
15;04:15;Cargo;LAX;KLM732;07R;122;departure
15;04:30;Airliner;DXB;DLH850;25L;177;arrival
15;04:45;Military;CDG;SIA849;25L;55;departure
15;05:00;Military;LAX;SIA242;25L;143;arrival
15;05:45;Cargo;ORD;BAW628;07R;165;departure
15;06:00;Private Jet;SIN;KLM118;07L;98;arrival
15;06:15;Military;ATL;THY434;07L;88;departure
15;06:30;Airliner;IST;BAW740;07L;195;arrival
15;06:45;Military;IST;BAW638;07R;57;departure
15;07:00;Airliner;ORD;KLM327;07R;237;arrival
15;07:15;Regional Jet;AMS;DLH556;25R;35;departure
15;07:30;Regional Jet;FRA;UAE616;07L;289;arrival
15;07:45;Private Jet;CDG;AFR534;25L;233;departure
15;08:00;Regional Jet;DXB;AFR424;25L;200;arrival
15;08:30;Airliner;LAX;DLH470;07L;146;departure
15;09:00;Regional Jet;ORD;IBE683;25L;5;arrival
15;09:45;Airliner;DXB;SIA958;25L;84;departure
15;10:00;Private Jet;HKG;QTR883;07R;311;arrival
15;10:15;Cargo;CDG;AAL421;25L;306;departure
15;10:45;Cargo;LHR;THY335;07R;179;arrival
15;11:15;Private Jet;FRA;CPA803;07L;184;departure
15;11:30;Airliner;DXB;IBE925;07R;311;arrival
15;11:45;Airliner;CDG;DLH473;25R;247;departure
15;12:00;Cargo;DOH;KLM761;25L;125;arrival
15;12:15;Airliner;ATL;THY686;07L;257;departure
15;12:45;Regional Jet;IST;AFR237;25R;132;arrival
15;13:00;Cargo;ATL;THY848;25L;294;departure
15;13:15;Airliner;ORD;DLH163;25R;225;arrival
15;13:45;Airliner;AMS;SIA793;07R;88;departure
15;14:00;Cargo;IST;THY825;07R;44;arrival
15;14:15;Cargo;LAX;SIA290;07R;36;departure
15;14:30;Cargo;AMS;DLH581;07R;225;arrival
15;14:45;Military;JFK;KLM662;07L;104;departure
15;15:15;Cargo;MAD;THY289;25R;170;arrival
15;15:45;Regional Jet;AMS;THY394;07L;44;departure
15;16:00;Regional Jet;ATL;THY278;25R;13;arrival
15;16:30;Private Jet;SIN;IBE236;25R;185;departure
15;17:00;Airliner;MAD;DLH944;25R;342;arrival
15;17:15;Airliner;LAX;IBE768;25L;276;departure
15;17:30;Airliner;DXB;QTR850;25R;295;arrival
15;17:45;Military;MAD;SIA307;07L;22;departure
15;18:00;Regional Jet;HKG;AAL723;25L;168;arrival
15;18:15;Cargo;ATL;UAE145;07L;259;departure
15;19:00;Private Jet;LAX;THY617;25R;236;arrival
15;19:15;Military;LHR;BAW376;07R;311;departure
15;19:30;Military;AMS;THY373;07L;121;arrival
15;19:45;Regional Jet;DXB;AAL162;25R;234;departure
15;20:00;Cargo;LAX;BAW682;25L;285;arrival
15;20:15;Cargo;DOH;THY303;25L;205;departure
15;20:30;Cargo;JFK;AAL927;07R;237;arrival
15;20:45;Cargo;DOH;BAW653;25L;264;departure
15;21:00;Cargo;IST;THY374;25L;82;arrival
15;21:30;Cargo;DXB;KLM152;07L;139;departure
15;21:45;Regional Jet;JFK;AFR817;07R;293;arrival
15;22:00;Military;AMS;BAW332;25L;236;departure
15;22:15;Private Jet;ORD;IBE940;07L;171;arrival
15;22:30;Airliner;ORD;DLH774;07R;185;departure
15;23:00;Cargo;JFK;AAL895;07L;209;arrival
15;23:15;Private Jet;MAD;BAW274;07L;189;departure
16;04:00;Military;LHR;AAL862;07L;42;arrival
16;04:15;Regional Jet;HKG;DLH979;25R;56;departure
16;04:45;Cargo;AMS;KLM279;07L;310;arrival
16;05:00;Airliner;FRA;AFR889;25R;315;departure
16;05:15;Military;CDG;SIA150;25R;153;arrival
16;05:30;Airliner;FRA;CPA398;25L;231;departure
16;06:00;Military;ATL;BAW489;25L;141;arrival
16;06:15;Airliner;AMS;SIA535;07L;53;departure
16;06:30;Regional Jet;ATL;KLM850;07L;246;arrival
16;06:45;Regional Jet;JFK;UAE468;07R;309;departure
16;07:00;Cargo;ATL;THY754;07R;340;arrival
16;07:15;Military;LHR;DLH902;07L;11;departure
16;07:30;Private Jet;IST;BAW846;25L;48;arrival
16;07:45;Cargo;LAX;DLH488;25R;192;departure
16;08:00;Regional Jet;IST;DLH770;07R;3;arrival
16;08:15;Regional Jet;HKG;CPA901;07R;52;departure
16;08:30;Private Jet;BKK;QTR414;25L;184;arrival
16;08:45;Cargo;HKG;IBE941;25R;102;departure
16;09:00;Military;AMS;QTR179;25R;73;arrival
16;09:45;Military;MAD;UAE679;25R;217;departure
16;10:15;Airliner;ORD;UAE619;25L;236;arrival
16;10:30;Military;DXB;IBE781;25R;72;departure
16;10:45;Private Jet;AMS;AAL530;25L;237;arrival
16;11:00;Airliner;LHR;IBE473;25R;18;departure
16;11:30;Regional Jet;CDG;UAE295;07R;353;arrival
16;11:45;Regional Jet;IST;SIA988;25L;157;departure
16;12:00;Regional Jet;DOH;KLM170;07R;209;arrival
16;12:15;Airliner;AMS;QTR976;25L;327;departure
16;12:30;Cargo;ORD;QTR293;25L;7;arrival
16;12:45;Regional Jet;DXB;THY549;25L;267;departure
16;13:00;Private Jet;DOH;THY971;25L;81;arrival
16;13:15;Regional Jet;JFK;UAE407;25R;255;departure
16;13:30;Private Jet;SIN;AAL987;25R;354;arrival
16;13:45;Regional Jet;LAX;AAL147;07R;95;departure
16;14:15;Regional Jet;FRA;BAW991;25L;284;arrival
16;14:30;Private Jet;MAD;QTR287;25L;177;departure
16;15:45;Regional Jet;MAD;BAW271;25R;225;arrival
16;16:15;Private Jet;MAD;QTR449;25L;10;departure
16;16:45;Airliner;LAX;DLH281;07L;220;arrival
16;17:00;Private Jet;IST;BAW426;25L;321;departure
16;17:15;Private Jet;ORD;BAW852;07R;178;arrival
16;17:30;Private Jet;ATL;QTR152;25R;150;departure
16;17:45;Military;DXB;SIA316;25L;232;arrival
16;18:00;Airliner;LAX;SIA754;25R;204;departure
16;18:15;Military;LAX;UAE118;07L;121;arrival
16;18:30;Regional Jet;ATL;BAW954;07R;160;departure
16;19:00;Airliner;SIN;BAW220;25L;249;arrival
16;19:30;Cargo;LHR;DLH468;25R;21;departure
16;20:00;Regional Jet;MAD;SIA991;07R;68;arrival
16;20:30;Private Jet;HKG;CPA272;07R;198;departure
16;21:00;Regional Jet;CDG;AFR886;07L;234;arrival
16;21:15;Airliner;LAX;IBE984;25R;11;departure
16;21:30;Cargo;CDG;AFR828;25R;118;arrival
16;21:45;Regional Jet;ATL;IBE972;25R;175;departure
16;22:00;Airliner;CDG;CPA569;07R;302;arrival
16;22:15;Regional Jet;DXB;CPA667;07L;274;departure
16;22:45;Cargo;DXB;AFR971;07R;257;arrival
16;23:00;Private Jet;FRA;UAE272;07R;213;departure
16;23:15;Regional Jet;ATL;SIA724;25R;305;arrival
16;23:30;Regional Jet;SIN;QTR851;07R;200;departure
17;04:30;Regional Jet;DXB;BAW217;25R;53;arrival
17;04:45;Military;LAX;IBE130;07R;128;departure
17;05:00;Airliner;BKK;DLH740;07R;93;arrival
17;05:15;Private Jet;BKK;IBE377;25R;245;departure
17;05:45;Cargo;HKG;KLM657;07R;302;arrival
17;06:00;Regional Jet;AMS;AAL122;07R;164;departure
17;06:15;Cargo;ORD;KLM129;07R;49;arrival
17;06:45;Airliner;DXB;IBE433;07R;120;departure
17;07:00;Airliner;AMS;UAE519;07R;157;arrival
17;07:15;Airliner;FRA;UAE677;07L;268;departure
17;07:30;Cargo;AMS;DLH439;07R;86;arrival
17;08:00;Military;BKK;AFR232;25R;36;departure
17;08:30;Cargo;LAX;UAE353;25L;327;arrival
17;08:45;Military;HKG;THY210;25R;249;departure
17;09:00;Cargo;DOH;SIA629;07L;148;arrival
17;09:15;Regional Jet;JFK;QTR314;07L;251;departure
